,number,value,datetime_start,datetime_complete,duration,params_addNoise,params_decay,params_dropout,params_gainDiv,params_nfft,params_normParam,state
67,67,80.68376159667969,2023-01-06 22:41:44.124304,2023-01-06 22:44:21.180794,0 days 00:02:37.056490,0.0007276323534840043,0.00140728443685426,0.05338027638408581,0.003287506868904895,896,6,PRUNED
68,68,75.32307434082031,2023-01-06 22:44:21.196380,2023-01-06 22:46:58.620989,0 days 00:02:37.424609,0.0009828954589705615,0.0020817984393973403,0.015861540863443185,0.006354731333028349,640,3,PRUNED
69,69,80.19828796386719,2023-01-06 22:46:58.620989,2023-01-06 22:49:44.224370,0 days 00:02:45.603381,0.04585502789816323,0.0025530739963213543,0.03374592986405318,0.008652006119755631,768,7,PRUNED
70,70,79.93846130371094,2023-01-06 22:49:44.224370,2023-01-06 22:52:36.940018,0 days 00:02:52.715648,0.0034886130802780227,0.009298317320738261,0.01920515515480174,0.004025457203623157,384,5,PRUNED
71,71,85.63419342041016,2023-01-06 22:52:36.940018,2023-01-06 22:59:38.206515,0 days 00:07:01.266497,0.4678965558660471,0.004449077919573241,0.15802420554074542,0.0001893838903996356,128,4,PRUNED
72,72,80.47863006591797,2023-01-06 22:59:38.206515,2023-01-06 23:03:35.614164,0 days 00:03:57.407649,0.07448549298623824,0.0031727732456859944,0.3564446344373779,0.0003140302817680675,512,5,PRUNED
73,73,80.46495819091797,2023-01-06 23:03:35.614164,2023-01-06 23:06:25.197685,0 days 00:02:49.583521,0.11565646826062037,0.006715800593102394,0.12181922411179757,0.00017736060532091906,384,5,PRUNED
74,74,85.94871520996094,2023-01-06 23:06:25.197685,2023-01-06 23:14:03.454700,0 days 00:07:38.257015,0.0012574941676682554,0.001077973063540926,0.27120596556796295,0.00042677863616061637,1024,11,PRUNED
75,75,80.75897979736328,2023-01-06 23:14:03.454700,2023-01-06 23:16:29.729942,0 days 00:02:26.275242,0.2785768765058921,0.0016279306819920749,0.039306200528185856,0.0006530043749221022,256,6,PRUNED
76,76,79.20683288574219,2023-01-06 23:16:29.729942,2023-01-06 23:18:54.136777,0 days 00:02:24.406835,0.0005254918353779,0.022063694589957644,0.23057711524660504,0.00028547181090362434,896,4,PRUNED
77,77,84.19828796386719,2023-01-06 23:18:54.136777,2023-01-06 23:25:00.908746,0 days 00:06:06.771969,0.0028806491237860776,0.003848016265821839,0.06097279020072271,0.00022988842533717282,768,10,PRUNED
78,78,75.26837921142578,2023-01-06 23:25:00.908746,2023-01-06 23:28:58.389710,0 days 00:03:57.480964,0.011538142303724411,0.0005337624649842381,0.045356859700503925,0.0001380071161859466,640,5,PRUNED
